MillCity-NV,4232
Eureka-NV,6485
Wells-NV,5630
Howe-ID,4829
Jackpot-NV,5213
Montello-NV,4879
Owyhee-NV,8386
Eugene-OR,430
Gresham-OR,318
Hillsbboro-OR,1430
Bend-OR,1850
Beaverton-OR,180
Medford-OR,1394
Johnday-OR,3106
Roseburg-OR,469
Bakercity-OR,3448
salem-OR,165
Newport-OR,138
Ashland-OR,1910
Riley-OR,4226
Seattle-WA,110
Spokane-WA,1875
Tacoma-WA,187
Vancouver-WA,46
Bellevue-WA,160
Kent-WA,39
Leavenworth-WA,1167
Yakima-WA,1070
Richland-WA,358
Pullman-WA,2343
WestWendover-NV,4494
LosAngeles-CA,299
SanDiego-CA,46
SanJose-CA,82
SanFrancisco-CA,52
Fresno-CA,308
Sacramento-CA,30
LongBeach-CA,52
Redding-CA,495
Bakersfield-CA,404
Bishop-CA,597
Irvine-CA,46
Darwin-CA,4790
Bayswater-CA,107
Arvin-CA,449
Albuquerque-NM,4954
LasCruces-NM,3899
RioRancho-NM,5592
SantaFe-NM,6997
Roswell-NM,3573
SaltLakeCity-UT,4259
WestValleyCity-UT,4259
Provo-UT,4544
WestJordan-UT,4380
Sandy-UT,4386
Orem-UT,4775
Ogden-UT,4312
Missoula-MT,6063
GreatFalls-MT,3327
Bozeman-MT,4803
Butte-SilverBow-MT,5764
Helena-MT,4089
Kalispell-MT,2959
Almosa-CO,7541
Cortez-CO,6180
GrandJunction-CO,4590
Pueblo-CO,4662
Lamar-CO,3619
Fortcollins-CO,4990
Aspen-CO,5807
Telluride-CO,7908
Montrose-CO,8750
Prescott-AZ,5400
Buckeye-AZ,1076
Sedona-AZ,4350
Tucson-AZ,2389
Phoenix-AZ,1086
Chinle-AZ,5506
Kingman-AZ,3333
Laramie-WY,7165
Gillette-WY,4554
RockSprings-WY,6279
Sheridan-WY,3737
GreenRiver-WY,764
Evanston-WY,6759
Lander-WY,5348
Rawlins-WY,6765
Casper-WY,5112
Gillette-WY,4563
Cody-WY,5000
Dubois-WY,6595
JordanValley-OR,4386
Rome-OR,3386
Adrian-OR,2226
Nyssa-OR,2178
Owyhee-OR,2201
Williston-ND,1877
Dickinson-ND,2418
Bowman-NE,2962
Harrison-NE,4863
Imperial-NE,3287
Alliance-NE,3966
Grant-NS,3413
ElPaso-TX,3720
Tribune-NV,3616
SharonSprings-KS,3442
Loeti-KS,3301
Boise-ID,2703
Meridian-ID,2605
Nampa-ID,2484
IdahoFalls-ID,4708
Pocatello-ID,4462
Caldwell-ID,2369
Ketchum-ID,5853
Chilly-ID,6316
May-ID,3907
Donnelly-ID,4865
Buhl-ID,3770
Kamaih-ID,1240
Butte-MT,5322
